name,country,group,url,status,resolution
2M (1080p),,General,http://5.253.46.190:8000/play/a0e9/index.m3u8,OK,1920x1080
2M Monde (576p),,General,http://5.253.46.190:8000/play/a0dt/index.m3u8,OK,720x576
2GB Sydney (1080p),,News,https://2gblive.akamaized.net/hls/live/2033805/2GB/index.m3u8,OK,
2STV,,Culture,http://69.64.57.208/2stv/playlist.m3u8,OK,1280x720
1TV (720p),,General,https://tv.cdn.xsg.ge/gpb-1tv/index.m3u8,OK,1280x720
2M Monde +1 (1080p),,General,https://d2qh3gh0k5vp3v.cloudfront.net/v1/master/3722c60a815c199d9c0ef36c5b73da68a62b09d1/cc-n6pess5lwbghr/2M_ES.m3u8,OK,1920x1080
1Twente TV (1080p),,General,https://ms7.mx-cd.net/dtv-11/198-989148/1Twente_TV.smil/chunklist_w954512639_b4292608_slNLD.m3u8,OK,1920x1080
1S News (576p),,Undefined,https://mumt03.tangotv.in/1SNEWS/index.m3u8,OK,448x360
2TV (720p),,General,https://tv.cdn.xsg.ge/gpb-2tv/index.m3u8,OK,1280x720
3ABN Canada,,Religious,https://3abn.bozztv.com/3abncanada/3ABN/master.m3u8,OK,1280x720
2x2,,Entertainment,http://31.148.48.15/2x2/index.m3u8,OK,720x576
3ABN Dare To Dream Network,,Religious,https://3abn.bozztv.com/3abn2/d2d_live/smil:d2d_live.smil/playlist.m3u8,OK,1280x720
3ABN English,,Religious,https://3abn.bozztv.com/3abn2/3abn_live/smil:3abn_live.smil/playlist.m3u8,OK,
3ABN French,,Religious,https://3abn.bozztv.com/3abn2/Fre_live/smil:Fre_live.smil/playlist.m3u8,OK,1280x720
1-2-3 TV (270p),,Shop,https://123tv-mx1.flex-cdn.net/index.m3u8,NG,
1Almere TV (720p),,General,https://d3472rjicrodic.cloudfront.net/nlpo/clr-nlpo/709d5260/index.m3u8,NG,
1KZN TV (576p),,Entertainment;Family;General,https://cdn.freevisiontv.co.za/sttv/smil:1kzn.stream.smil/playlist.m3u8,NG,
3Cat Exclusiu 1 (1080p) [Geo-blocked],,News;Public,https://directes-tv-cat.3catdirectes.cat/live-content/oca1-hls/master.m3u8,NG,
3ABN International Network,,Religious,https://3abn.bozztv.com/3abn2/Int_live/smil:Int_live.smil/playlist.m3u8,OK,1280x720
3Cat Exclusiu 2 (1080p) [Geo-blocked],,News;Public,https://directes-tv-cat.3catdirectes.cat/live-content/oca2-hls/master.m3u8,NG,
3Cat Exclusiu 3 (1080p) [Geo-blocked],,News;Public,https://directes-tv-cat.3catdirectes.cat/live-content/oca3-hls/master.m3u8,NG,
3ABN Kids Network,,Animation;Kids;Religious,https://3abn.bozztv.com/3abn2/Kids_live/smil:Kids_live.smil/playlist.m3u8,OK,
3HD,,General,https://lb1-live-mv.v2h-cdn.com/hls/ffae/muulk/muulk.m3u8,NG,
3ABN TV Uganda (720p) [Not 24/7],,Religious,https://3abn.bozztv.com/3abn/3abn_uganda_live/index.m3u8,OK,852x480
3sat (720p) [Geo-blocked],,General,https://zdf-hls-18.akamaized.net/hls/live/2016501/dach/high/master.m3u8,NG,
3AW Melbourne (1080p),,News,https://3awlive.akamaized.net/hls/live/2032295/3AW/index.m3u8,OK,
3ABN Latino,,Religious,https://3abn.bozztv.com/3abn2/Lat_live/smil:Lat_live.smil/playlist.m3u8,OK,1280x720
3ABN Praise Him Music Network,,Music;Religious,https://3abn.bozztv.com/3abn1/PraiseHim/smil:PraiseHim.smil/playlist.m3u8,OK,1280x720
3ABN Proclaim! Network,,Religious,https://3abn.bozztv.com/3abn2/Pro_live/smil:Pro_live.smil/playlist.m3u8,OK,1280x720
3 Stones TV (240p) [Not 24/7],,General,https://goliveafrica.media:9998/live/64d21e682fd26/index.m3u8,NG,
4 Afghanistan,,Undefined,https://4afghls.persiana.live/hls/stream.m3u8,OK,1280x720
3Cat Càmeres del temps (1080p),,Public;Weather,https://directes-tv-int.3catdirectes.cat/live-content/beauties-hls/master.m3u8,OK,854x480
3Cat El búnquer (1080p),,Comedy;Public,https://fast-tailor.3catdirectes.cat/v1/channel/bunquer/hls.m3u8,NG,
"like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0"" group-title=""Undefined"",4K TRAVEL TV (1080p)",,Undefined,https://d35j504z0x2vu2.cloudfront.net/v1/master/0bc8e8376bd8417a1b6761138aa41c26c7309312/4k-travel-tv/manifest.m3u8?ads.vf=ndSxSDe4vbu,NG,
4 Fun Kids (576i) [[Not 24/7]],,Kids,https://stream.4fun.tv:8889/hls/4fk_high/index.m3u8,OK,1024x576
